mean,median,var,std,skewness,kurtosis,zerocrossrate,NA,peak2peak,activity,mobility,complexity,mean_power,median_power,variance_power,std_power,skewness_power,kurtosis_power,delta_power,theta_power,alpha_power,beta_power,gamma_power,peak_frequency,theta_alpha_ratio,beta_alpha_ratio,theta_beta_ratio,gamma_delta_ratio,ratio_one,ratio_two,ratio_three,label
0.034723755,0.314515903,188.603364,13.733294,-0.09665435,4.252405597,0.239322917,0,114.1520021,188.603364,0.67088936,1.996282412,5086.140511,1638.763091,73013556.77,8544.797059,8544.797059,16.69092999,95691.03601,39198.63993,65170.64032,116479.92,99785.48101,3,0.60147698,1.787306667,0.336527016,1.042788177,0.89602809,0.574560739,1.344418422,2
0.021915979,0.278231482,127.7150467,11.30110821,-0.064148753,3.619753033,0.277864583,0,87.66298075,127.7150467,0.776340458,1.757788128,3951.128004,1202.876688,29864460.43,5464.838554,5464.838554,7.616939425,47817.44196,22174.85103,56743.45008,107435.7252,102204.8192,3,0.390791378,1.893359058,0.206401092,2.13739621,0.73456293,0.48068399,2.004961323,2
0.022427709,0.369145448,91.28482445,9.554309209,-0.134628257,4.221921765,0.23203125,0,78.32220812,91.28482445,0.632739621,2.059121053,2351.149963,503.0948699,23535251.35,4851.314394,4851.314394,26.99529959,53015.85257,20970.12371,33568.16545,39848.88621,41694.90224,3,0.624702704,1.187103485,0.52624115,0.786461034,1.368627692,0.742855889,0.941787992,2
0.024693078,0.249444155,77.08006859,8.779525533,-0.121750241,4.026420839,0.243489583,0,70.79602125,77.08006859,0.662725631,2.025909459,1909.605157,587.3790632,8493992.933,2914.445562,2914.445562,11.7937059,29645.26939,14568.15579,23585.39121,50085.21603,40278.3823,3,0.617677089,2.123569441,0.290867385,1.358678235,0.761772635,0.517893749,1.697585514,2
0.020777537,0.293120617,61.85185907,7.86459529,-0.095069176,4.064797171,0.242447917,0,63.39088979,61.85185907,0.653431293,2.039888631,1480.253906,427.3312639,5547744.16,2355.364974,2355.364974,15.10876945,25510.68442,14702.94448,19723.27454,34517.07552,29764.95566,3,0.745461634,1.750068197,0.425961477,1.166764293,0.997367781,0.634697582,1.421101152,2
0.020353859,0.257335054,63.68244934,7.980128404,-0.112230632,4.341265826,0.251822917,0,66.11490048,63.68244934,0.661350036,2.003639596,1801.207614,491.7668149,10777352.71,3282.887862,3282.887862,21.10866744,34316.35694,12426.98037,21679.03048,42975.92871,36312.75852,3,0.573225836,1.982373186,0.289161415,1.058176385,0.793607302,0.527508041,1.415986046,2
0.020075988,0.173886905,47.55183758,6.895784044,-0.107858122,5.300437141,0.248697917,0,63.86044467,47.55183758,0.629704452,2.094989589,1308.749595,567.1573981,3785602.689,1945.662532,1945.662532,9.84381777,20631.93463,13738.63359,12625.61434,30601.45788,39434.70726,3,1.088155651,2.423759911,0.448953564,1.911343166,0.861535684,0.609901309,2.105872721,2
-0.023124277,-0.140968073,62.67831875,7.916963986,0.146255703,4.181498807,0.24140625,0,63.29068543,62.67831875,0.651786105,2.060028149,1333.695029,651.0283876,3339266.127,1827.365899,1827.365899,5.484909804,16606.10731,10532.00182,18234.4329,35612.7316,27629.09739,3,0.577588669,1.953048488,0.295736984,1.663791331,0.807757041,0.534223761,1.815179346,2
0.01959264,0.171134283,41.53004677,6.444381023,-0.150523199,4.058076012,0.245572917,0,51.53181116,41.53004677,0.675804254,1.949050161,1155.621597,357.0310904,2498022.973,1580.513516,1580.513516,4.956066103,15133.2199,8260.11524,10254.73301,32856.96385,33668.83135,3,0.805492959,3.204077942,0.251396181,2.224829321,0.563498452,0.429462294,2.620368622,2
0.01553045,0.106195894,31.69154737,5.629524613,-0.047099504,4.5127814,0.22265625,0,48.43204387,31.69154737,0.628270631,2.034535155,684.575405,186.6557149,2201160.752,1483.630935,1483.630935,35.65816487,16179.28861,7897.454793,8797.555326,10683.59076,14353.49458,3,0.897687426,1.214381764,0.739213526,0.887152391,1.562677801,0.856982954,1.00241189,2
