title:subject1, start timestamp:1692783215.930107, stop timestamp:1692783409.157951, headset type:EPOCFLEX, headset serial:F000005B, headset firmware:f14, channels:111, sampling rate:eeg_128, samples:24731     , version:2.2, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO9,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO10,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.SaturationFlag,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO9,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO10,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.Cz,EQ.Fz,EQ.Fp1,EQ.F7,EQ.F3,EQ.FC1,EQ.C3,EQ.FC5,EQ.FT9,EQ.T7,EQ.CP5,EQ.CP1,EQ.P3,EQ.P7,EQ.PO9,EQ.O1,EQ.Pz,EQ.Oz,EQ.O2,EQ.PO10,EQ.P8,EQ.P4,EQ.CP2,EQ.CP6,EQ.T8,EQ.FT10,EQ.FC6,EQ.C4,EQ.FC2,EQ.F4,EQ.F8,EQ.Fp2
1692783215.930107,0.000000,0.000000,-34.723694,4.041265,-156.518204,-95.257240,-37.214836,-29.760288,-18.641401,-26.909908,874.846924,-13.905831,-24.818430,-22.695925,-25.837679,-4.012570,42.437862,3.397258,-27.370106,42.933964,-11.380821,22.419405,-145.546310,8.730836,-10.225703,12.116812,-23.603245,1.749035,-28.671741,44.401955,3.699668,14.667390,-26.571125,-119.575500,0.000000,0.000000,161.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.938020,1.000000,0.000000,-29.565893,9.160301,-138.943222,-89.526596,-41.276085,-18.972067,-12.987375,-34.055305,874.996643,-13.891926,-19.158226,-19.087076,-14.028765,12.385289,43.932350,-1.729216,-18.121197,50.575645,-2.660210,30.593908,-127.982307,22.554413,-2.018554,24.912388,-13.845797,-0.301945,-20.958454,55.116013,12.917507,17.726568,-22.446093,-111.771309,0.000000,0.000000,181.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,1.000000,41.666668,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,3.000000,2.000000,3.000000,3.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,2.000000,4.000000,4.000000,4.000000
1692783215.945833,2.000000,0.000000,-31.073250,7.614218,-142.902740,-95.072456,-42.259422,-21.514633,-16.048233,-36.070480,869.510925,-21.050341,-22.725222,-19.067989,-8.379352,12.885211,43.888416,25.424822,-13.492307,75.115837,6.051681,32.612545,-130.928162,19.458012,1.569618,30.010551,-9.733489,0.722973,-18.375957,54.548592,11.367666,16.171919,-17.300570,-119.344154,0.000000,0.000000,165.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.953646,3.000000,0.000000,-32.579102,5.557373,-160.178299,-103.686615,-40.167934,-25.591579,-15.007570,-27.837488,871.715210,-24.615444,-17.579420,-14.950459,-9.907895,8.261557,38.721451,25.911703,-16.040352,67.356110,5.533322,31.555317,-151.801849,9.704708,-5.604259,12.562080,-19.969910,4.308403,-30.652966,42.710964,5.208607,14.618824,-23.430962,-132.032501,0.000000,0.000000,174.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.961459,4.000000,0.000000,-31.521906,6.064123,-157.456589,-96.922928,-39.615456,-16.856756,-10.894101,-22.686573,874.941956,-17.418522,-8.340302,-11.349355,-6.311834,23.110218,34.071960,8.979638,-16.536619,58.067211,6.040096,35.622223,-160.871597,10.207312,-11.746347,6.401825,-36.856094,3.791788,-32.159237,44.205177,5.203398,18.190359,-28.530607,-129.338928,0.000000,0.000000,189.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.969172,5.000000,0.000000,-27.904230,8.107289,-148.589905,-92.215233,-38.038918,-16.327593,-12.420130,-25.737732,882.263977,-15.864181,-17.041193,-11.338005,-4.768599,12.328647,40.697887,24.852198,-13.446238,73.890686,7.570979,40.709679,-155.587646,10.197104,-6.099216,18.178501,-28.622314,5.837226,-19.831692,48.771740,7.759733,20.221399,-23.891308,-123.061905,0.000000,0.000000,163.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.976985,6.000000,0.000000,-30.950172,5.537644,-154.589005,-96.221481,-38.000881,-26.045111,-21.116941,-30.322763,897.775513,-25.069855,-27.782614,-17.986668,-13.473061,-13.299067,40.144882,31.487345,-17.531252,72.279869,3.464947,39.644352,-150.821289,5.576138,-7.117732,15.086476,-17.322922,7.368312,-23.398014,40.526047,6.215050,11.491947,-25.916647,-120.377304,0.000000,0.000000,189.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.984698,7.000000,0.000000,-41.677685,-3.689432,-160.069794,-95.100639,-41.549034,-30.117527,-27.243517,-34.390903,902.000854,-23.507862,-26.730215,-28.214834,-23.193434,1.058848,27.297047,2.254319,-26.222952,54.276821,-3.710826,28.846247,-139.399689,5.058254,-20.942923,5.849851,-32.162521,-4.934441,-35.157692,33.825520,-0.451165,0.209686,-31.526115,-120.256927,0.000000,0.000000,189.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783215.992511,8.000000,0.000000,-50.857544,-12.394974,-163.495880,-104.227081,-48.679790,-36.747410,-29.777811,-43.065742,892.389587,-18.361277,-34.388100,-34.334312,-32.391781,16.427019,27.782057,-15.166397,-33.369038,46.025620,-17.027115,13.960478,-138.235687,-6.729881,-30.143518,-2.352922,-48.524208,-24.909506,-40.757919,26.107080,-13.258406,-6.450523,-43.277664,-136.018204,0.000000,0.000000,160.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692783216.000224,9.000000,0.000000,-53.880531,-13.407194,-170.504700,-120.516701,-53.241882,-44.395279,-34.871109,-46.608829,894.571045,-26.539839,-44.599865,-37.886131,-39.531696,-4.081715,32.877350,-18.225077,-42.557205,33.684212,-33.403934,8.311133,-157.052826,-25.166229,-34.724144,-20.793646,-50.524914,-28.983059,-47.377163,12.248665,-20.929762,-10.542535,-60.140541,-152.788345,0.000000,0.000000,190.000000,3.000000,64.000000,,,,0.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,50.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
